strategy,E1,E2_us,E3,F,TP,FP,FN,TN
V1_XML_XSD_BASIC,0.0000,2034.3000,1.0000,0.2000,20,0,0,20
V2_XML_XSD_STRICT,0.0000,676.9500,1.0000,0.0666,20,0,0,20
