strategy,E1,E2_ms,E3,F,TP,FP,FN,TN
V3_JSON_SCHEMA_BASIC,0.5000,0.0000,0.0000,0.8000,20,20,0,0
V4_JSON_SCHEMA_STRICT,0.0000,0.0000,0.6500,0.0000,20,0,0,20
